Model,Device,Image,IoU,cx_offset,cy_offset,w_offset,h_offset
yolo26m_FP32,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,GPU.0,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9960,0.17,0.05,0.19,0.15
yolo26m_FP32,GPU.0,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9990,0.00,0.04,0.01,0.13
yolo26m_FP32,GPU.0,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9991,0.02,0.05,0.11,0.00
yolo26m_FP32,GPU.0,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9983,0.03,0.02,0.03,0.10
yolo26m_FP32,GPU.0,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9978,0.25,0.07,0.15,0.75
yolo26m_FP32,GPU.0,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9986,0.01,0.01,0.06,0.05
yolo26m_FP32,GPU.0,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9981,0.04,0.17,0.01,0.20
yolo26m_FP32,GPU.0,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9989,0.05,0.17,0.11,0.33
yolo26m_FP32,GPU.0,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9931,0.04,0.04,0.14,0.07
yolo26m_FP32,GPU.0,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9960,0.16,0.62,0.19,1.25
yolo26m_FP32,GPU.0,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9992,0.01,0.02,0.16,0.15
yolo26m_FP32,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9997,0.03,0.02,0.01,0.04
yolo26m_FP32,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9974,0.12,0.03,0.18,0.07
yolo26m_FP32,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9966,0.05,0.55,0.04,1.10
yolo26m_FP32,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9990,0.00,0.02,0.03,0.14
yolo26m_FP32,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9988,0.02,0.06,0.05,0.13
yolo26m_FP32,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9975,0.07,0.21,0.14,0.07
yolo26m_FP32,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9982,0.09,0.04,0.07,0.46
yolo26m_FP32,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9982,0.21,0.07,0.15,0.15
yolo26m_FP32,GPU.0,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9998,0.01,0.04,0.02,0.07
yolo26m_FP16,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9997,0.01,0.00,0.01,0.01
yolo26m_FP16,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9999,0.00,0.00,0.01,0.02
yolo26m_FP16,CPU,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9998,0.01,0.01,0.00,0.00
yolo26m_FP16,CPU,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9998,0.01,0.01,0.01,0.01
yolo26m_FP16,CPU,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9997,0.04,0.00,0.05,0.06
yolo26m_FP16,CPU,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9997,0.00,0.00,0.00,0.03
yolo26m_FP16,CPU,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9994,0.02,0.03,0.01,0.01
yolo26m_FP16,CPU,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP16,CPU,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9997,0.00,0.00,0.00,0.00
yolo26m_FP16,CPU,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9996,0.02,0.05,0.02,0.11
yolo26m_FP16,CPU,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9985,0.05,0.25,0.08,0.42
yolo26m_FP16,CPU,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9998,0.03,0.00,0.04,0.00
yolo26m_FP16,CPU,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9998,0.00,0.00,0.02,0.00
yolo26m_FP16,CPU,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9997,0.01,0.00,0.01,0.00
yolo26m_FP16,CPU,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9998,0.00,0.00,0.01,0.01
yolo26m_FP16,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9998,0.00,0.00,0.01,0.00
yolo26m_FP16,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9996,0.01,0.03,0.01,0.02
yolo26m_FP16,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9996,0.00,0.01,0.04,0.02
yolo26m_FP16,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9996,0.03,0.01,0.08,0.04
yolo26m_FP16,CPU,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9999,0.01,0.00,0.02,0.00
yolo26m_FP16,GPU.0,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9960,0.17,0.05,0.19,0.15
yolo26m_FP16,GPU.0,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9990,0.00,0.04,0.01,0.13
yolo26m_FP16,GPU.0,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9991,0.02,0.05,0.11,0.00
yolo26m_FP16,GPU.0,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9983,0.03,0.02,0.03,0.10
yolo26m_FP16,GPU.0,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9978,0.25,0.07,0.15,0.75
yolo26m_FP16,GPU.0,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9986,0.01,0.01,0.06,0.05
yolo26m_FP16,GPU.0,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9981,0.04,0.17,0.01,0.20
yolo26m_FP16,GPU.0,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9989,0.05,0.17,0.11,0.33
yolo26m_FP16,GPU.0,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9931,0.04,0.04,0.14,0.07
yolo26m_FP16,GPU.0,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9960,0.16,0.62,0.19,1.25
yolo26m_FP16,GPU.0,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9992,0.01,0.02,0.16,0.15
yolo26m_FP16,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9997,0.03,0.02,0.01,0.04
yolo26m_FP16,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9974,0.12,0.03,0.18,0.07
yolo26m_FP16,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9966,0.05,0.55,0.04,1.10
yolo26m_FP16,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9990,0.00,0.02,0.03,0.14
yolo26m_FP16,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9988,0.02,0.06,0.05,0.13
yolo26m_FP16,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9975,0.07,0.21,0.14,0.07
yolo26m_FP16,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9982,0.09,0.04,0.07,0.46
yolo26m_FP16,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9982,0.21,0.07,0.15,0.15
yolo26m_FP16,GPU.0,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9998,0.01,0.04,0.02,0.07
yolo26m_INT8,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.8574,0.76,2.97,7.00,15.04
yolo26m_INT8,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9540,2.96,0.19,0.81,6.28
yolo26m_INT8,CPU,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9833,0.28,0.18,2.24,1.69
yolo26m_INT8,CPU,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9521,1.75,4.97,3.40,1.85
yolo26m_INT8,CPU,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9485,9.73,4.38,9.34,10.37
yolo26m_INT8,CPU,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9397,0.06,1.45,2.24,1.03
yolo26m_INT8,CPU,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9456,2.38,1.30,5.50,1.02
yolo26m_INT8,CPU,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9957,0.58,0.32,1.05,0.64
yolo26m_INT8,CPU,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.8786,0.19,1.46,5.75,3.12
yolo26m_INT8,CPU,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9749,3.27,1.58,3.35,0.85
yolo26m_INT8,CPU,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9569,0.37,7.52,2.27,1.33
yolo26m_INT8,CPU,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9803,2.67,0.54,2.85,1.12
yolo26m_INT8,CPU,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9352,0.46,2.10,1.54,2.45
yolo26m_INT8,CPU,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9279,0.12,1.96,0.24,5.50
yolo26m_INT8,CPU,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9551,1.96,0.43,4.41,2.00
yolo26m_INT8,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9830,1.40,0.37,1.20,3.20
yolo26m_INT8,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9317,0.14,4.29,2.29,12.99
yolo26m_INT8,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9114,1.61,11.56,1.86,29.53
yolo26m_INT8,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9319,4.35,6.42,9.15,6.06
yolo26m_INT8,CPU,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.7950,1.63,34.81,3.26,81.01
yolo26m_INT8,GPU.0,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.8416,4.98,0.81,0.50,7.46
yolo26m_INT8,GPU.0,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9543,2.92,0.09,0.78,6.26
yolo26m_INT8,GPU.0,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9736,0.14,2.47,2.33,2.43
yolo26m_INT8,GPU.0,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9524,1.74,4.93,3.39,1.83
yolo26m_INT8,GPU.0,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9469,9.75,5.57,9.15,11.75
yolo26m_INT8,GPU.0,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9342,5.01,1.55,8.10,0.44
yolo26m_INT8,GPU.0,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9560,1.91,0.07,0.14,0.36
yolo26m_INT8,GPU.0,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9940,0.54,0.65,1.19,0.98
yolo26m_INT8,GPU.0,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.8783,0.19,1.35,5.74,3.14
yolo26m_INT8,GPU.0,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9702,3.25,2.57,3.39,5.15
yolo26m_INT8,GPU.0,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9653,0.31,0.99,2.44,11.23
yolo26m_INT8,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9796,2.73,0.51,2.91,1.26
yolo26m_INT8,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9346,0.53,2.12,1.55,2.46
yolo26m_INT8,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9567,0.10,1.58,0.20,3.17
yolo26m_INT8,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9592,1.88,0.47,2.38,2.04
yolo26m_INT8,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9836,1.37,0.40,1.23,3.07
yolo26m_INT8,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9320,0.09,4.27,2.29,12.93
yolo26m_INT8,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.8884,4.11,3.94,3.94,7.88
yolo26m_INT8,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9315,4.34,6.43,9.25,6.17
yolo26m_INT8,GPU.0,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.7950,1.63,34.90,3.27,81.00
